FULL_NAME,WEBSITE_URL,IMAGE_URL,INTEREST_STR,APPLICATIONS_STR
Dylan Cashman,https://www.cs.tufts.edu/~dcashm01,https://www.eecs.tufts.edu/~dcashm01/academic-website/public/img/dylan_pic_2.jpg,"Interactive Machine Learning, Visualization for Interpretable AI, Human-centered Model Selection","Cybersecurity, Language Modeling, General Data Science"
Daniel Banco,https://www.eecs.tufts.edu/~dbanco02/,https://www.eecs.tufts.edu/~dbanco02/media/headshot.jpg, "Machine learning, Imaging","Materials characterization, MRI, Computer vision"
