YEAR,SEMESTER,COURSE_NUM,COURSE_TITLE,COURSE_URL,COURSE_IMG,INSTRUCTOR
2020,fall,COMP 131,Artificial Intelligence,https://www.cs.tufts.edu/comp/131/,images/course_logos_200x200/ai_image.jpg,Prof. Fabrizio Santini
2020,fall,COMP 135,Intro to Machine Learning,https://www.cs.tufts.edu/comp/135/2020f,images/course_logos_200x200/intro_ml_image.jpg,Prof. Mike Hughes
2020,fall,COMP 138,Reinforcement Learning,https://www.eecs.tufts.edu/~jsinapov/teaching/comp150_RL_Fall2020/,images/course_logos_200x200/reinforce_image.jpg,Prof. Jivko Sinapov
2020,fall,COMP 150-DNN,Deep Neural Networks,https://www.eecs.tufts.edu/~liulp/courses/comp137-2020-fall/,images/course_logos_200x200/dnn_image.jpg,Prof. Liping Liu
2020,fall,COMP 152,Statstical Bioinformatics in R,,images/course_logos_200x200/dnn_image.jpg,Prof. Donna Slonim
